county,fips,date,total_cases,new_cases,total_confirmed,new_confirmed,total_probable,new_probable,pos_tests,new_pos_tests,neg_tests,new_neg_tests,total_tests,new_tests,new_deaths,total_deaths,new_hospitalized,total_hospitalized,total_deaths_by_dod,new_deaths_by_dod
Davidson,47037,5/21/2022,196840,167,176424,136,20416,31,207399,175,1583190,609,1790589,784,0,1686,0,3907,1687,0
Davidson,47037,5/20/2022,196673,234,176288,188,20385,46,207224,211,1582581,904,1789805,1115,0,1686,0,3907,1687,0
Davidson,47037,5/19/2022,196439,280,176100,231,20339,49,207013,250,1581677,996,1788690,1246,1,1686,1,3907,1687,0
Davidson,47037,5/18/2022,196159,188,175869,151,20290,37,206763,184,1580681,673,1787444,857,-1,1685,0,3906,1687,0
Davidson,47037,5/17/2022,195971,287,175718,207,20253,80,206579,223,1580008,906,1786587,1129,6,1686,0,3906,1687,0
Davidson,47037,5/16/2022,195684,185,175511,153,20173,32,206356,171,1579102,707,1785458,878,1,1680,0,3906,1687,0
Davidson,47037,5/15/2022,195499,106,175358,89,20141,17,206185,100,1578395,439,1784580,539,0,1679,0,3906,1687,0
Davidson,47037,5/14/2022,195393,113,175269,101,20124,12,206085,111,1577956,446,1784041,557,0,1679,0,3906,1687,0
Davidson,47037,5/13/2022,195280,238,175168,181,20112,57,205974,205,1577510,1041,1783484,1246,0,1679,0,3906,1687,0
Davidson,47037,5/12/2022,195042,211,174987,168,20055,43,205769,176,1576469,916,1782238,1092,1,1679,0,3906,1687,0
Davidson,47037,5/11/2022,194831,169,174819,144,20012,25,205593,157,1575553,748,1781146,905,0,1678,1,3906,1687,0
Davidson,47037,5/10/2022,194662,212,174675,167,19987,45,205436,196,1574805,979,1780241,1175,0,1678,1,3905,1687,0
Davidson,47037,5/9/2022,194450,167,174508,141,19942,26,205240,153,1573826,600,1779066,753,4,1678,0,3904,1687,0
Davidson,47037,5/8/2022,194283,79,174367,66,19916,13,205087,75,1573226,400,1778313,475,0,1674,0,3904,1687,1
Davidson,47037,5/7/2022,194204,102,174301,90,19903,12,205012,112,1572826,535,1777838,647,0,1674,2,3904,1686,0
Davidson,47037,5/6/2022,194102,189,174211,156,19891,33,204900,163,1572291,902,1777191,1065,0,1674,0,3902,1686,0
Davidson,47037,5/5/2022,193913,145,174055,122,19858,23,204737,138,1571389,907,1776126,1045,1,1674,0,3902,1686,1
Davidson,47037,5/4/2022,193768,148,173933,132,19835,16,204599,145,1570482,991,1775081,1136,0,1673,0,3902,1685,0
Davidson,47037,5/3/2022,193620,148,173801,120,19819,28,204454,134,1569491,767,1773945,901,-1,1673,1,3902,1685,0
Davidson,47037,5/2/2022,193472,107,173681,83,19791,24,204320,100,1568724,629,1773044,729,1,1674,1,3901,1685,0
Davidson,47037,5/1/2022,193365,37,173598,35,19767,2,204220,37,1568095,301,1772315,338,0,1673,0,3900,1685,0
Davidson,47037,4/30/2022,193328,72,173563,62,19765,10,204183,76,1567794,430,1771977,506,0,1673,2,3900,1685,0
Davidson,47037,4/29/2022,193256,133,173501,116,19755,17,204107,139,1567364,1034,1771471,1173,0,1673,1,3898,1685,0
Davidson,47037,4/28/2022,193123,141,173385,111,19738,30,203968,124,1566330,937,1770298,1061,2,1673,1,3897,1685,0
Davidson,47037,4/27/2022,192982,109,173274,86,19708,23,203844,95,1565393,895,1769237,990,0,1671,1,3896,1685,1
Davidson,47037,4/26/2022,192873,123,173188,112,19685,11,203749,135,1564498,1131,1768247,1266,0,1671,1,3895,1684,1
Davidson,47037,4/25/2022,192750,87,173076,68,19674,19,203614,80,1563367,791,1766981,871,0,1671,0,3894,1683,0
Davidson,47037,4/24/2022,192663,33,173008,30,19655,3,203534,36,1562576,412,1766110,448,0,1671,0,3894,1683,0
Davidson,47037,4/23/2022,192630,50,172978,46,19652,4,203498,59,1562164,744,1765662,803,0,1671,0,3894,1683,0
Davidson,47037,4/22/2022,192580,118,172932,101,19648,17,203439,108,1561420,813,1764859,921,0,1671,0,3894,1683,0
Davidson,47037,4/21/2022,192462,96,172831,78,19631,18,203331,86,1560607,1156,1763938,1242,3,1671,1,3894,1683,0
Davidson,47037,4/20/2022,192366,123,172753,98,19613,25,203245,111,1559451,981,1762696,1092,1,1668,0,3893,1683,1
Davidson,47037,4/19/2022,192243,88,172655,71,19588,17,203134,81,1558470,990,1761604,1071,0,1667,1,3893,1682,1
Davidson,47037,4/18/2022,192155,50,172584,46,19571,4,203053,49,1557480,552,1760533,601,-1,1667,0,3892,1681,0
Davidson,47037,4/17/2022,192105,43,172538,42,19567,1,203004,48,1556928,281,1759932,329,0,1668,1,3892,1681,0
Davidson,47037,4/16/2022,192062,53,172496,50,19566,3,202956,55,1556647,409,1759603,464,0,1668,1,3891,1681,0
Davidson,47037,4/15/2022,192009,70,172446,63,19563,7,202901,72,1556238,858,1759139,930,0,1668,0,3890,1681,0
Davidson,47037,4/14/2022,191939,91,172383,77,19556,14,202829,73,1555380,830,1758209,903,1,1668,0,3890,1681,0
Davidson,47037,4/13/2022,191848,95,172306,80,19542,15,202756,86,1554550,997,1757306,1083,0,1667,0,3890,1681,0
Davidson,47037,4/12/2022,191753,64,172226,48,19527,16,202670,54,1553553,752,1756223,806,4,1667,0,3890,1681,0
Davidson,47037,4/11/2022,191689,60,172178,53,19511,7,202616,52,1552801,574,1755417,626,2,1663,0,3890,1681,0
Davidson,47037,4/10/2022,191629,16,172125,14,19504,2,202564,19,1552227,230,1754791,249,-1,1661,0,3890,1681,0
Davidson,47037,4/9/2022,191613,28,172111,26,19502,2,202545,32,1551997,693,1754542,725,0,1662,0,3890,1681,1
Davidson,47037,4/8/2022,191585,60,172085,56,19500,4,202513,58,1551304,1090,1753817,1148,0,1662,0,3890,1680,1
Davidson,47037,4/7/2022,191525,60,172029,47,19496,13,202455,51,1550214,655,1752669,706,8,1662,1,3890,1679,0
Davidson,47037,4/6/2022,191465,61,171982,53,19483,8,202404,66,1549559,943,1751963,1009,0,1654,1,3889,1679,0
Davidson,47037,4/5/2022,191404,62,171929,50,19475,12,202338,54,1548616,738,1750954,792,4,1654,0,3888,1679,1
Davidson,47037,4/4/2022,191342,39,171879,32,19463,7,202284,34,1547878,851,1750162,885,9,1650,0,3888,1678,0
Davidson,47037,4/3/2022,191303,14,171847,12,19456,2,202250,12,1547027,348,1749277,360,1,1641,0,3888,1678,0
Davidson,47037,4/2/2022,191289,17,171835,17,19454,0,202238,19,1546679,484,1748917,503,0,1640,0,3888,1678,0
Davidson,47037,4/1/2022,191272,40,171818,31,19454,9,202219,35,1546195,874,1748414,909,0,1640,0,3888,1678,2
Davidson,47037,3/31/2022,191232,43,171787,35,19445,8,202184,36,1545321,893,1747505,929,2,1640,0,3888,1676,1
Davidson,47037,3/30/2022,191189,44,171752,36,19437,8,202148,35,1544428,1116,1746576,1151,0,1638,0,3888,1675,2
Davidson,47037,3/29/2022,191145,31,171716,28,19429,3,202113,33,1543312,731,1745425,764,4,1638,1,3888,1673,0
Davidson,47037,3/28/2022,191114,49,171688,40,19426,9,202080,45,1542581,1090,1744661,1135,1,1634,0,3887,1673,0
Davidson,47037,3/27/2022,191065,15,171648,9,19417,6,202035,13,1541491,274,1743526,287,0,1633,0,3887,1673,0
Davidson,47037,3/26/2022,191050,28,171639,23,19411,5,202022,27,1541217,750,1743239,777,0,1633,0,3887,1673,1
Davidson,47037,3/25/2022,191022,33,171616,30,19406,3,201995,34,1540467,1066,1742462,1100,0,1633,0,3887,1672,3
Davidson,47037,3/24/2022,190989,35,171586,30,19403,5,201961,34,1539401,745,1741362,779,2,1633,0,3887,1669,0
Davidson,47037,3/23/2022,190954,47,171556,40,19398,7,201927,45,1538656,988,1740583,1033,2,1631,1,3887,1669,0
Davidson,47037,3/22/2022,190907,60,171516,38,19391,22,201882,45,1537668,919,1739550,964,1,1629,0,3886,1669,0
Davidson,47037,3/21/2022,190847,38,171478,32,19369,6,201837,35,1536749,806,1738586,841,-1,1628,0,3886,1669,1
Davidson,47037,3/20/2022,190809,21,171446,20,19363,1,201802,21,1535943,332,1737745,353,0,1629,0,3886,1668,0
Davidson,47037,3/19/2022,190788,23,171426,18,19362,5,201781,20,1535611,740,1737392,760,0,1629,0,3886,1668,1
Davidson,47037,3/18/2022,190765,33,171408,31,19357,2,201761,36,1534871,943,1736632,979,0,1629,0,3886,1667,1
Davidson,47037,3/17/2022,190732,43,171377,35,19355,8,201725,39,1533928,915,1735653,954,2,1629,0,3886,1666,1
Davidson,47037,3/16/2022,190689,45,171342,33,19347,12,201686,41,1533013,1006,1734699,1047,0,1627,0,3886,1665,1
Davidson,47037,3/15/2022,190644,31,171309,24,19335,7,201645,30,1532007,923,1733652,953,0,1627,1,3886,1664,0
Davidson,47037,3/14/2022,190613,62,171285,41,19328,21,201615,48,1531084,820,1732699,868,7,1627,3,3885,1664,0
Davidson,47037,3/13/2022,190551,15,171244,13,19307,2,201567,17,1530264,551,1731831,568,0,1620,0,3882,1664,0
Davidson,47037,3/12/2022,190536,16,171231,12,19305,4,201550,16,1529713,639,1731263,655,0,1620,1,3882,1664,2
Davidson,47037,3/11/2022,190520,31,171219,28,19301,3,201534,32,1529074,1145,1730608,1177,10,1620,0,3881,1662,2
Davidson,47037,3/10/2022,190489,58,171191,47,19298,11,201502,48,1527929,1192,1729431,1240,7,1610,1,3881,1660,1
Davidson,47037,3/9/2022,190431,58,171144,48,19287,10,201454,59,1526737,1317,1728191,1376,2,1603,1,3880,1659,1
Davidson,47037,3/8/2022,190373,126,171096,51,19277,75,201395,51,1525420,870,1726815,921,1,1601,1,3879,1658,0
Davidson,47037,3/7/2022,190247,61,171045,52,19202,9,201344,61,1524550,1020,1725894,1081,3,1600,1,3878,1658,2
Davidson,47037,3/6/2022,190186,26,170993,14,19193,12,201283,24,1523530,442,1724813,466,0,1597,1,3877,1656,2
Davidson,47037,3/5/2022,190160,25,170979,24,19181,1,201259,33,1523088,613,1724347,646,1,1597,0,3876,1654,3
Davidson,47037,3/4/2022,190135,76,170955,58,19180,18,201226,77,1522475,1418,1723701,1495,1,1596,1,3876,1651,2
Davidson,47037,3/3/2022,190059,51,170897,43,19162,8,201149,52,1521057,914,1722206,966,3,1595,0,3875,1649,1
Davidson,47037,3/2/2022,190008,118,170854,100,19154,18,201097,114,1520143,1579,1721240,1693,5,1592,1,3875,1648,2
Davidson,47037,3/1/2022,189890,99,170754,73,19136,26,200983,88,1518564,1125,1719547,1213,4,1587,0,3874,1646,3
Davidson,47037,2/28/2022,189791,133,170681,100,19110,33,200895,124,1517439,1118,1718334,1242,1,1583,1,3874,1643,1
Davidson,47037,2/27/2022,189658,17,170581,17,19077,0,200771,17,1516321,264,1717092,281,2,1582,1,3873,1642,0
Davidson,47037,2/26/2022,189641,77,170564,65,19077,12,200754,86,1516057,771,1716811,857,0,1580,2,3872,1642,1
Davidson,47037,2/25/2022,189564,110,170499,92,19065,18,200668,107,1515286,1523,1715954,1630,1,1580,1,3870,1641,2
Davidson,47037,2/24/2022,189454,125,170407,102,19047,23,200561,118,1513763,1051,1714324,1169,6,1579,0,3869,1639,5
Davidson,47037,2/23/2022,189329,178,170305,146,19024,32,200443,168,1512712,1398,1713155,1566,6,1573,4,3869,1634,3
Davidson,47037,2/22/2022,189151,156,170159,124,18992,32,200275,141,1511314,1060,1711589,1201,2,1567,1,3865,1631,1
Davidson,47037,2/21/2022,188995,106,170035,90,18960,16,200134,111,1510254,750,1710388,861,1,1565,1,3864,1630,1
Davidson,47037,2/20/2022,188889,76,169945,60,18944,16,200023,74,1509504,518,1709527,592,0,1564,1,3863,1629,4
Davidson,47037,2/19/2022,188813,101,169885,89,18928,12,199949,113,1508986,615,1708935,728,4,1564,3,3862,1625,2
Davidson,47037,2/18/2022,188712,167,169796,140,18916,27,199836,179,1508371,1464,1708207,1643,1,1560,0,3859,1623,2
Davidson,47037,2/17/2022,188545,188,169656,150,18889,38,199657,175,1506907,976,1706564,1151,1,1559,5,3859,1621,4
Davidson,47037,2/16/2022,188357,248,169506,208,18851,40,199482,247,1505931,1636,1705413,1883,3,1558,3,3854,1617,2
Davidson,47037,2/15/2022,188109,216,169298,160,18811,56,199235,193,1504295,1035,1703530,1228,7,1555,4,3851,1615,3
Davidson,47037,2/14/2022,187893,266,169138,222,18755,44,199042,298,1503260,1305,1702302,1603,18,1548,0,3847,1612,3
Davidson,47037,2/13/2022,187627,95,168916,71,18711,24,198744,86,1501955,415,1700699,501,5,1530,0,3847,1609,3
Davidson,47037,2/12/2022,187532,166,168845,154,18687,12,198658,199,1501540,710,1700198,909,0,1525,0,3847,1606,3
Davidson,47037,2/11/2022,187366,332,168691,265,18675,67,198459,313,1500830,1590,1699289,1903,5,1525,1,3847,1603,8
Davidson,47037,2/10/2022,187034,405,168426,340,18608,65,198146,404,1499240,1729,1697386,2133,2,1520,1,3846,1595,2
Davidson,47037,2/9/2022,186629,444,168086,386,18543,58,197742,432,1497511,1814,1695253,2246,4,1518,3,3845,1593,3
Davidson,47037,2/8/2022,186185,452,167700,362,18485,90,197310,449,1495697,1382,1693007,1831,3,1514,3,3842,1590,6
Davidson,47037,2/7/2022,185733,434,167338,327,18395,107,196861,386,1494315,1585,1691176,1971,3,1511,3,3839,1584,4
Davidson,47037,2/6/2022,185299,217,167011,183,18288,34,196475,216,1492730,597,1689205,813,1,1508,2,3836,1580,3
Davidson,47037,2/5/2022,185082,281,166828,242,18254,39,196259,283,1492133,733,1688392,1016,1,1507,0,3834,1577,5
