"incident_count","year_value","month_value","offense_desc","total_incidents_by_year","avg_incidents_by_month"
7,2022,5,"Accidental Injury   ",81,16.2000000000000000
25,2022,4,"Accidental Injury   ",81,16.2000000000000000
18,2022,3,"Accidental Injury   ",81,16.2000000000000000
20,2022,2,"Accidental Injury   ",81,16.2000000000000000
11,2022,1,"Accidental Injury   ",81,16.2000000000000000
12,2021,12,"Accidental Injury   ",211,17.5833333333333333
19,2021,11,"Accidental Injury   ",211,17.5833333333333333
17,2021,10,"Accidental Injury   ",211,17.5833333333333333
18,2021,9,"Accidental Injury   ",211,17.5833333333333333
12,2021,8,"Accidental Injury   ",211,17.5833333333333333
19,2021,7,"Accidental Injury   ",211,17.5833333333333333
22,2021,6,"Accidental Injury   ",211,17.5833333333333333
21,2021,5,"Accidental Injury   ",211,17.5833333333333333
21,2021,4,"Accidental Injury   ",211,17.5833333333333333
22,2021,3,"Accidental Injury   ",211,17.5833333333333333
11,2021,2,"Accidental Injury   ",211,17.5833333333333333
17,2021,1,"Accidental Injury   ",211,17.5833333333333333
12,2020,12,"Accidental Injury   ",226,18.8333333333333333
19,2020,11,"Accidental Injury   ",226,18.8333333333333333
13,2020,10,"Accidental Injury   ",226,18.8333333333333333
20,2020,9,"Accidental Injury   ",226,18.8333333333333333
18,2020,8,"Accidental Injury   ",226,18.8333333333333333
17,2020,7,"Accidental Injury   ",226,18.8333333333333333
24,2020,6,"Accidental Injury   ",226,18.8333333333333333
23,2020,5,"Accidental Injury   ",226,18.8333333333333333
19,2020,4,"Accidental Injury   ",226,18.8333333333333333
19,2020,3,"Accidental Injury   ",226,18.8333333333333333
23,2020,2,"Accidental Injury   ",226,18.8333333333333333
19,2020,1,"Accidental Injury   ",226,18.8333333333333333
19,2019,12,"Accidental Injury   ",259,21.5833333333333333
18,2019,11,"Accidental Injury   ",259,21.5833333333333333
25,2019,10,"Accidental Injury   ",259,21.5833333333333333
16,2019,9,"Accidental Injury   ",259,21.5833333333333333
16,2019,8,"Accidental Injury   ",259,21.5833333333333333
21,2019,7,"Accidental Injury   ",259,21.5833333333333333
26,2019,6,"Accidental Injury   ",259,21.5833333333333333
19,2019,5,"Accidental Injury   ",259,21.5833333333333333
29,2019,4,"Accidental Injury   ",259,21.5833333333333333
21,2019,3,"Accidental Injury   ",259,21.5833333333333333
20,2019,2,"Accidental Injury   ",259,21.5833333333333333
29,2019,1,"Accidental Injury   ",259,21.5833333333333333
21,2018,12,"Accidental Injury   ",259,21.5833333333333333
16,2018,11,"Accidental Injury   ",259,21.5833333333333333
23,2018,10,"Accidental Injury   ",259,21.5833333333333333
25,2018,9,"Accidental Injury   ",259,21.5833333333333333
24,2018,8,"Accidental Injury   ",259,21.5833333333333333
18,2018,7,"Accidental Injury   ",259,21.5833333333333333
23,2018,6,"Accidental Injury   ",259,21.5833333333333333
29,2018,5,"Accidental Injury   ",259,21.5833333333333333
22,2018,4,"Accidental Injury   ",259,21.5833333333333333
22,2018,3,"Accidental Injury   ",259,21.5833333333333333
17,2018,2,"Accidental Injury   ",259,21.5833333333333333
19,2018,1,"Accidental Injury   ",259,21.5833333333333333
22,2017,12,"Accidental Injury   ",246,20.5000000000000000
18,2017,11,"Accidental Injury   ",246,20.5000000000000000
15,2017,10,"Accidental Injury   ",246,20.5000000000000000
22,2017,9,"Accidental Injury   ",246,20.5000000000000000
23,2017,8,"Accidental Injury   ",246,20.5000000000000000
18,2017,7,"Accidental Injury   ",246,20.5000000000000000
15,2017,6,"Accidental Injury   ",246,20.5000000000000000
18,2017,5,"Accidental Injury   ",246,20.5000000000000000
26,2017,4,"Accidental Injury   ",246,20.5000000000000000
28,2017,3,"Accidental Injury   ",246,20.5000000000000000
23,2017,2,"Accidental Injury   ",246,20.5000000000000000
18,2017,1,"Accidental Injury   ",246,20.5000000000000000
20,2016,12,"Accidental Injury   ",279,23.2500000000000000
19,2016,11,"Accidental Injury   ",279,23.2500000000000000
23,2016,10,"Accidental Injury   ",279,23.2500000000000000
25,2016,9,"Accidental Injury   ",279,23.2500000000000000
