"date","new_confirmed"
"2022-01-06",2517
"2021-12-30",2355
"2022-01-05",2124
"2022-01-19",2080
"2022-01-14",1778
"2022-01-13",1645
"2022-01-07",1641
"2022-01-01",1640
"2022-01-04",1607
"2022-01-11",1584
"2021-12-29",1399
"2022-01-20",1398
"2022-01-12",1366
"2021-12-28",1327
"2022-01-10",1243
"2022-01-15",1211
"2022-01-25",1194
"2022-01-16",1178
"2021-12-31",1154
"2022-01-24",1105
"2022-01-21",1046
"2021-09-10",1046
"2022-01-26",986
"2021-01-05",938
"2022-01-28",935
"2022-01-08",933
"2022-01-22",909
"2020-12-15",893
"2020-12-29",885
"2022-02-01",865
"2022-01-18",842
"2020-12-20",831
"2022-01-03",825
"2021-09-05",819
"2022-01-27",812
"2020-12-13",807
"2021-12-24",807
"2020-12-17",802
"2021-12-22",785
"2021-01-16",766
"2021-09-06",758
"2020-12-10",755
"2020-12-12",752
"2020-12-14",748
"2021-01-06",738
"2021-01-07",725
"2021-12-23",724
"2020-11-26",719
"2021-09-11",718
"2020-12-19",697
