"date","number_of_incidents"
"2021-05-01",465
"2020-08-10",437
"2020-08-01",421
"2020-07-20",421
"2021-10-09",421
"2021-10-01",420
"2021-07-01",419
"2020-10-01",419
"2020-09-01",418
"2022-03-19",417
"2020-08-03",408
"2021-07-10",407
"2021-06-01",407
"2020-09-04",405
"2020-11-01",405
"2020-07-14",405
"2020-11-21",404
"2022-03-17",400
"2021-06-19",399
"2021-09-01",396
"2020-11-12",396
"2021-09-05",394
"2021-07-17",393
"2021-08-06",392
"2020-06-01",391
"2020-07-24",389
"2021-09-04",389
"2021-09-03",388
"2021-08-21",386
"2020-08-02",385
"2020-08-24",385
"2020-08-20",385
"2020-04-01",385
"2020-10-25",384
"2021-08-20",384
"2021-12-03",383
"2020-03-01",383
"2021-11-01",382
"2021-07-16",381
"2021-09-12",379
"2020-10-10",379
"2020-08-21",379
"2021-12-01",379
"2021-11-06",378
"2021-07-04",377
"2021-10-23",377
"2020-08-05",377
"2020-06-26",377
"2020-08-17",377
"2020-07-16",376
